cx,cy,r,fill,stroke,opacity,style,result,x_meters,y_meters,outcome
278.98752209762193,58.14211645587412,6.685714285714286,#c80000,#f8f8ff,0.5,opacity,Miss,29.367107589223362,8.729850276979285,0
216.05399802057397,370.1327975656041,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,22.74252610742884,55.22206246190075,1
213.9028279290975,400.8757088249241,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,22.516087150431314,59.80330812079854,1
217.88725465012183,54.93569698453365,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,22.935500489486508,8.252036215722134,0
215.07389697060273,387.9759141324569,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,22.63935757585292,57.88100714100365,1
224.2996413428646,396.5482054153629,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,23.6104885624068,59.158432427612276,1
215.57157833795446,77.55373606846936,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,22.69174508820573,11.622530066874507,1
308.83461879351233,179.17254946265305,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,32.50890724142235,26.76555747236513,1
161.57121992404907,316.8725332163134,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,17.00749683411043,47.28532697241562,1
312.2330027912557,109.26080803109265,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,32.866631872763755,16.347452978691834,0
222.8129963235723,387.03592191968977,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,23.45399961300761,57.740931427034575,1
236.28650244126405,444.38194595991814,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,24.8722634148699,66.28651845596957,1
313.9728065386826,410.9115974617713,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,33.04976910933501,61.29883568690695,0
188.86963453527267,315.4409096583357,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,19.88101416160765,47.07198936249188,1
224.6647126981353,371.59913205894316,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,23.648917126119507,55.44057262430656,0
323.5468861235981,198.79136119401622,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,34.05756696037874,29.689112607365338,1
143.3281445516236,200.0884466492809,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,15.087173110697222,29.88240162482459,1
150.68978735429906,278.6675946670759,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,15.862082879399901,41.59210529276449,1
300.12314453409266,207.74302253428425,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,31.59190995095712,31.023070842781106,1
222.8024085167802,355.4275005981883,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,23.452885107029495,53.030709231671025,1
241.58215945580028,110.35253275286131,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,25.4297009953474,16.510139560327715,0
187.05548069175566,144.0096961331726,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,19.690050599132174,21.525661100439514,1
288.10229656049125,5.9133651090739106,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,30.32655753268329,0.9468287420671349,0
347.14333286273927,84.78723204152361,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,36.54140345923571,12.700450818936114,0
221.65064244188355,369.08527483428577,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,23.331646572829847,55.065962770333826,1
234.4764238855644,18.35205833979669,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,24.68172883005941,2.8004173266009005,0
246.02650467641712,446.46856133332125,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,25.897526808043906,66.59746160447489,1
226.13058685567725,97.82858763842957,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,23.80321966901866,14.643846914722436,0
308.69774824363554,120.37706720259435,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,32.49449981511953,18.003975148731474,0
228.01406329113001,397.8974648610051,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,24.00148034643474,59.359496306238974,0
223.82009576421595,23.0873226679253,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,23.560010080443785,3.5060567165723433,1
231.61713871524245,417.2409798223438,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,24.38075144370973,62.24202728051657,0
156.1474313366959,201.19538129428147,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,16.4365717196522,30.047354758062905,1
213.99358287401625,369.0826125612918,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,22.52564030252803,55.06556604386594,1
335.6520379110186,139.96718736871034,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,35.33179346431775,20.923254725453326,1
228.43062940447618,456.81705976032026,6.685714285714286,#c80000,#f4f4fa,0.5,opacity,Miss,24.045329410997493,68.13957364112943,0
127.87638544924717,219.79683676935815,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,13.460672152552334,32.81930554780931,1
266.9217015890235,91.92244109409562,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,28.097021219897208,13.763725055448573,1
230.75306888565314,384.19245002567664,6.685714285714286,#00c800,#f4f4fa,0.5,opacity,Make,24.289796724805594,57.3172030702513,1
